Entity,Code,Date,DailyChangeInTotalTestsPerK
Croatia,HRV,28-Apr-20,0.185
Croatia,HRV,29-Apr-20,0.219
Croatia,HRV,30-Apr-20,0.595
Cuba,CUB,23-Mar-20,0.009
Cuba,CUB,24-Mar-20,0.01
Cuba,CUB,25-Mar-20,0.014
Cuba,CUB,26-Mar-20,0.013
Cuba,CUB,27-Mar-20,0.029
Cuba,CUB,28-Mar-20,0.026
Cuba,CUB,29-Mar-20,0.03
Cuba,CUB,30-Mar-20,0.028
Cuba,CUB,31-Mar-20,0.039
Cuba,CUB,01-Apr-20,0.051
Cuba,CUB,02-Apr-20,0.071
Cuba,CUB,03-Apr-20,0.093
Cuba,CUB,04-Apr-20,0.106
Cuba,CUB,05-Apr-20,0.067
Cuba,CUB,06-Apr-20,0.093
Cuba,CUB,07-Apr-20,0.105
Cuba,CUB,08-Apr-20,0.116
Cuba,CUB,09-Apr-20,0.115
Cuba,CUB,10-Apr-20,0.101
Cuba,CUB,11-Apr-20,0.167
Cuba,CUB,12-Apr-20,0.183
Cuba,CUB,13-Apr-20,0.144
Cuba,CUB,14-Apr-20,0.149
Cuba,CUB,15-Apr-20,0.122
Cuba,CUB,16-Apr-20,0.131
Cuba,CUB,17-Apr-20,0.167
Cuba,CUB,18-Apr-20,0.156
Cuba,CUB,19-Apr-20,0.143
Cuba,CUB,20-Apr-20,0.161
Cuba,CUB,21-Apr-20,0.164
Cuba,CUB,22-Apr-20,0.174
Cuba,CUB,23-Apr-20,0.167
Cuba,CUB,24-Apr-20,0.164
Cuba,CUB,25-Apr-20,0.162
Cuba,CUB,26-Apr-20,0.161
Cuba,CUB,27-Apr-20,0.164
Cuba,CUB,28-Apr-20,0.162
Cuba,CUB,29-Apr-20,0.177
Czech Republic,CZE,28-Jan-20,0.001
Czech Republic,CZE,07-Feb-20,0.001
Czech Republic,CZE,10-Feb-20,0.001
Czech Republic,CZE,24-Feb-20,0.001
Czech Republic,CZE,25-Feb-20,0.001
Czech Republic,CZE,26-Feb-20,0.002
Czech Republic,CZE,27-Feb-20,0.003
Czech Republic,CZE,28-Feb-20,0.002
Czech Republic,CZE,29-Feb-20,0.001
Czech Republic,CZE,01-Mar-20,0.001
Czech Republic,CZE,02-Mar-20,0.005
Czech Republic,CZE,03-Mar-20,0.007
Czech Republic,CZE,04-Mar-20,0.006
Czech Republic,CZE,05-Mar-20,0.007
Czech Republic,CZE,06-Mar-20,0.01
Czech Republic,CZE,07-Mar-20,0.018
Czech Republic,CZE,08-Mar-20,0.013
Czech Republic,CZE,09-Mar-20,0.025
Czech Republic,CZE,10-Mar-20,0.015
Czech Republic,CZE,11-Mar-20,0.043
Czech Republic,CZE,12-Mar-20,0.05
Czech Republic,CZE,13-Mar-20,0.069
Czech Republic,CZE,14-Mar-20,0.091
Czech Republic,CZE,15-Mar-20,0.094
Czech Republic,CZE,16-Mar-20,0.115
Czech Republic,CZE,17-Mar-20,0.127
Czech Republic,CZE,18-Mar-20,0.162
Czech Republic,CZE,19-Mar-20,0.207
Czech Republic,CZE,20-Mar-20,0.195
Czech Republic,CZE,21-Mar-20,0.176
Czech Republic,CZE,22-Mar-20,0.167
Czech Republic,CZE,23-Mar-20,0.21
Czech Republic,CZE,24-Mar-20,0.278
Czech Republic,CZE,25-Mar-20,0.383
Czech Republic,CZE,26-Mar-20,0.414
Czech Republic,CZE,27-Mar-20,0.49
Czech Republic,CZE,28-Mar-20,0.404
Czech Republic,CZE,29-Mar-20,0.261
Czech Republic,CZE,30-Mar-20,0.496
Czech Republic,CZE,31-Mar-20,0.58
Czech Republic,CZE,01-Apr-20,0.558
Czech Republic,CZE,02-Apr-20,0.587
Czech Republic,CZE,03-Apr-20,0.643
Czech Republic,CZE,04-Apr-20,0.573
Czech Republic,CZE,05-Apr-20,0.44
Czech Republic,CZE,06-Apr-20,0.582
Czech Republic,CZE,07-Apr-20,0.694
Czech Republic,CZE,08-Apr-20,0.762
Czech Republic,CZE,09-Apr-20,0.748
Czech Republic,CZE,10-Apr-20,0.507
Czech Republic,CZE,11-Apr-20,0.452
Czech Republic,CZE,12-Apr-20,0.302
Czech Republic,CZE,13-Apr-20,0.297
Czech Republic,CZE,14-Apr-20,0.572
Czech Republic,CZE,15-Apr-20,0.778
Czech Republic,CZE,16-Apr-20,0.775
Czech Republic,CZE,17-Apr-20,0.768
Czech Republic,CZE,18-Apr-20,0.519
Czech Republic,CZE,19-Apr-20,0.376
Czech Republic,CZE,20-Apr-20,0.606
Czech Republic,CZE,21-Apr-20,0.775
Czech Republic,CZE,22-Apr-20,0.823
Czech Republic,CZE,23-Apr-20,0.738
Czech Republic,CZE,24-Apr-20,0.666
Czech Republic,CZE,25-Apr-20,0.415
Czech Republic,CZE,26-Apr-20,0.316
Czech Republic,CZE,27-Apr-20,0.722
Czech Republic,CZE,28-Apr-20,0.817
Czech Republic,CZE,29-Apr-20,0.683
Czech Republic,CZE,30-Apr-20,0.677
Denmark,DNK,20-Mar-20,0.485
Denmark,DNK,21-Mar-20,0.12
Denmark,DNK,22-Mar-20,0.085
Denmark,DNK,23-Mar-20,0.158
Denmark,DNK,26-Mar-20,0.192
Denmark,DNK,27-Mar-20,0.223
Denmark,DNK,28-Mar-20,0.265
Denmark,DNK,29-Mar-20,0.24
Denmark,DNK,30-Mar-20,0.204
Denmark,DNK,31-Mar-20,0.412
Denmark,DNK,01-Apr-20,0.52
Denmark,DNK,02-Apr-20,0.543
Denmark,DNK,03-Apr-20,0.771
Denmark,DNK,04-Apr-20,0.956
Denmark,DNK,05-Apr-20,0.657
Denmark,DNK,06-Apr-20,0.549
Denmark,DNK,07-Apr-20,0.799
Denmark,DNK,08-Apr-20,1.034
Denmark,DNK,09-Apr-20,0.807
Denmark,DNK,10-Apr-20,0.435
Denmark,DNK,11-Apr-20,0.525
Denmark,DNK,12-Apr-20,0.406
Denmark,DNK,13-Apr-20,0.341
Denmark,DNK,14-Apr-20,0.314
Denmark,DNK,15-Apr-20,0.655
